,Марка,Модель,Год выпуска,Город продажи,Тип топлива,"Объем двигателя, л.","Мощность, л.с.",Коробка передач,Привод,Цвет,"Пробег, км",Поколение,Количество регистраций,"Цена, руб."
1256,Porsche,Cayenne,2019,Томск,бензин,3.0,340.0,АКПП,4WD,черный,59000.0,3 поколение,1.0,6999000
1257,Porsche,Panamera,2011,Тюмень,бензин,4.8,550.0,робот,4WD,черный,108990.0,1 поколение,5.0,3100000
1258,Porsche,Panamera,2009,Екатеринбург,бензин,4.8,400.0,робот,4WD,синий,173000.0,1 поколение,11.0,2850000
1259,Porsche,Cayenne,2010,Ростов-на-Дону,бензин,3.6,300.0,АКПП,4WD,черный,188000.0,2 поколение,5.0,2250000
1260,Porsche,Cayenne,2007,Красноярск,бензин,4.8,500.0,АКПП,4WD,белый,180000.0,"1 поколение, рестайлинг",7.0,1800000
1261,Porsche,Cayenne,2009,Санкт-Петербург,бензин,4.8,385.0,АКПП,4WD,серый,163823.0,"1 поколение, рестайлинг",2.0,919789
1262,Porsche,Cayenne,2012,Иркутск,бензин,3.6,300.0,АКПП,4WD,белый,180000.0,2 поколение,5.0,2650000
1269,Porsche,Cayenne,2015,Иркутск,бензин,3.6,300.0,АКПП,4WD,черный,120000.0,"2 поколение, рестайлинг",,3450000
1272,Porsche,Cayenne,2008,Нижневартовск,бензин,4.8,500.0,АКПП,4WD,черный,211800.0,"1 поколение, рестайлинг",10.0,1200000
1280,Porsche,Panamera,2013,Москва,бензин,3.0,420.0,робот,4WD,черный,82025.0,"1 поколение, рестайлинг",6.0,3900000
1281,Porsche,911,2019,Москва,бензин,3.0,450.0,робот,задний,черный,15837.0,8 поколение,,12500000
1282,Porsche,Cayenne,2010,Севастополь,дизель,3.0,240.0,АКПП,4WD,черный,190000.0,2 поколение,5.0,2450000
1283,Porsche,Cayenne,2010,Орск,бензин,4.8,400.0,АКПП,4WD,коричневый,124000.0,2 поколение,10.0,1900000
1284,Porsche,Panamera,2011,Ноябрьск,бензин,3.6,300.0,робот,4WD,белый,176000.0,1 поколение,6.0,2100000
1285,Porsche,Cayenne,2010,Ярославль,бензин,4.8,500.0,АКПП,4WD,черный,150000.0,2 поколение,3.0,1985000
1286,Porsche,Panamera,2015,Москва,бензин,3.0,420.0,робот,4WD,белый,113709.0,"1 поколение, рестайлинг",3.0,4294700
1287,Porsche,Cayenne,2005,Новосибирск,бензин,4.5,340.0,АКПП,4WD,черный,302000.0,1 поколение,6.0,700000
1288,Porsche,911,2020,Москва,бензин,3.0,385.0,робот,4WD,зеленый,27440.0,8 поколение,1.0,13647000
1289,Porsche,Macan,2014,Москва,бензин,3.6,400.0,робот,4WD,серый,115000.0,1 поколение,5.0,2650000
1290,Porsche,Cayenne,2016,Пермь,дизель,3.0,245.0,АКПП,4WD,черный,95000.0,"2 поколение, рестайлинг",9.0,4050000
1291,Porsche,Macan,2015,Санкт-Петербург,бензин,3.0,340.0,робот,4WD,белый,91000.0,1 поколение,7.0,2499000
1292,Porsche,Cayenne,2012,Элиста,бензин,3.0,333.0,АКПП,4WD,белый,71000.0,2 поколение,1.0,3490000
